train_project,test_project,feature,mean_abs_shap
CM1,JM1,lOComment,0.08944842582903612
CM1,JM1,lOCode,0.05083089146556597
CM1,JM1,b,0.03888354655779128
CM1,JM1,iv(g),0.03127500978485418
CM1,JM1,loc,0.028224841709236424
CM1,JM1,uniq_Opnd,0.027342714481972095
CM1,JM1,i,0.02652367585040198
CM1,JM1,uniq_Op,0.024277692724940417
CM1,JM1,v(g),0.014378240494115319
CM1,JM1,l,0.014291374317112455
CM1,JM1,n,0.014256557285667746
CM1,JM1,d,0.013530425687370113
CM1,JM1,total_Opnd,0.01334383214428701
CM1,JM1,branchCount,0.01302766066006717
CM1,JM1,v,0.012337936763072536
CM1,JM1,total_Op,0.010715862084155607
CM1,JM1,lOBlank,0.01034269893864755
CM1,JM1,t,0.009296863721469357
CM1,JM1,e,0.00847448070449579
CM1,JM1,ev(g),0.007841764379758448
CM1,JM1,locCodeAndComment,0.0002100246874282832
JM1,CM1,iv(g),0.05773626684049695
JM1,CM1,loc,0.04858291378455311
JM1,CM1,ev(g),0.023430511271126307
JM1,CM1,lOBlank,0.019500888277672723
JM1,CM1,v(g),0.018624661358065
JM1,CM1,branchCount,0.017900571938960722
JM1,CM1,lOCode,0.013568511364376385
JM1,CM1,uniq_Opnd,0.01189936532191694
JM1,CM1,l,0.010073482555645342
JM1,CM1,uniq_Op,0.009926355500078672
JM1,CM1,i,0.009488824111814032
JM1,CM1,total_Op,0.009100626429967257
JM1,CM1,t,0.007939087856975561
JM1,CM1,b,0.007677488489009234
JM1,CM1,v,0.00753412674079645
JM1,CM1,e,0.007279408995384182
JM1,CM1,lOComment,0.007160844570817339
JM1,CM1,d,0.007058146961707366
JM1,CM1,n,0.006703293144889053
JM1,CM1,total_Opnd,0.005945948045532221
JM1,CM1,locCodeAndComment,0.0015879059208250739
