Feature,Mutual_Information
uniq_Opnd,0.05352938241892802
i,0.04187964750333095
b,0.04146083370285525
lOComment,0.040216137061775736
loc,0.037871959516583065
lOBlank,0.032547061489478946
v,0.03134960128973319
l,0.02726945001708958
total_Opnd,0.025909223894053923
iv(g),0.024134675247267756
n,0.02036032336265836
t,0.016691363357670186
e,0.016614987159715433
total_Op,0.016575788457031893
branchCount,0.012408612409934072
lOCode,0.01073598849305002
v(g),0.008062774299530728
d,0.005168597295729382
uniq_Op,0.0011351413193072535
ev(g),0.0
locCodeAndComment,0.0
