Module_ID,Defect_Probability,Risk_Score,Risk_Level,Testing_Priority,Actual_Defect
50,0.925,92.5,HIGH,TEST FIRST,0
123,0.75,75.0,HIGH,TEST FIRST,0
151,0.74,74.0,HIGH,TEST FIRST,0
36,0.735,73.5,HIGH,TEST FIRST,0
429,0.7,70.0,HIGH,TEST FIRST,1
426,0.65,65.0,HIGH,TEST FIRST,1
275,0.64,64.0,HIGH,TEST FIRST,0
402,0.62,62.0,HIGH,TEST FIRST,1
54,0.585,58.5,MEDIUM,TEST SOON,0
278,0.57,56.99999999999999,MEDIUM,TEST SOON,0
15,0.57,56.99999999999999,MEDIUM,TEST SOON,0
45,0.56,56.00000000000001,MEDIUM,TEST SOON,0
192,0.505,50.5,MEDIUM,TEST SOON,0
350,0.48,48.0,MEDIUM,TEST SOON,0
193,0.435,43.5,MEDIUM,TEST SOON,0
60,0.425,42.5,MEDIUM,TEST SOON,0
400,0.41,41.0,MEDIUM,TEST SOON,1
101,0.4,40.0,MEDIUM,TEST SOON,0
51,0.38,38.0,MEDIUM,TEST SOON,0
214,0.365,36.5,MEDIUM,TEST SOON,0
438,0.36,36.0,MEDIUM,TEST SOON,1
398,0.34,34.0,MEDIUM,TEST SOON,1
254,0.34,34.0,MEDIUM,TEST SOON,0
345,0.325,32.5,MEDIUM,TEST SOON,0
189,0.32,32.0,MEDIUM,TEST SOON,0
176,0.295,29.5,LOW,NORMAL,0
424,0.27,27.0,LOW,NORMAL,1
253,0.27,27.0,LOW,NORMAL,0
243,0.2554166666666667,25.541666666666668,LOW,NORMAL,0
245,0.25,25.0,LOW,NORMAL,0
55,0.24833333333333335,24.833333333333336,LOW,NORMAL,0
311,0.235,23.5,LOW,NORMAL,0
433,0.23,23.0,LOW,NORMAL,1
330,0.23,23.0,LOW,NORMAL,0
310,0.22,22.0,LOW,NORMAL,0
190,0.215,21.5,LOW,NORMAL,0
132,0.215,21.5,LOW,NORMAL,0
321,0.215,21.5,LOW,NORMAL,0
22,0.18749999999999997,18.749999999999996,LOW,NORMAL,0
271,0.185,18.5,LOW,NORMAL,0
381,0.18,18.0,LOW,NORMAL,0
191,0.175,17.5,LOW,NORMAL,0
379,0.165,16.5,LOW,NORMAL,0
73,0.155,15.5,LOW,NORMAL,0
3,0.155,15.5,LOW,NORMAL,0
162,0.15,15.0,LOW,NORMAL,0
361,0.1495,14.95,LOW,NORMAL,0
266,0.14,14.000000000000002,LOW,NORMAL,0
441,0.135,13.5,LOW,NORMAL,1
389,0.135,13.5,LOW,NORMAL,0
52,0.12,12.0,LOW,NORMAL,0
216,0.115,11.5,LOW,NORMAL,0
265,0.11,11.0,LOW,NORMAL,0
237,0.09,9.0,LOW,NORMAL,0
153,0.09,9.0,LOW,NORMAL,0
317,0.085,8.5,LOW,NORMAL,0
315,0.08199999999999999,8.2,LOW,NORMAL,0
261,0.08,8.0,LOW,NORMAL,0
56,0.07,7.000000000000001,LOW,NORMAL,0
399,0.065,6.5,LOW,NORMAL,1
332,0.065,6.5,LOW,NORMAL,0
207,0.065,6.5,LOW,NORMAL,0
297,0.053,5.3,LOW,NORMAL,0
203,0.05,5.0,LOW,NORMAL,0
259,0.05,5.0,LOW,NORMAL,0
393,0.05,5.0,LOW,NORMAL,0
395,0.045,4.5,LOW,NORMAL,0
374,0.04,4.0,LOW,NORMAL,0
346,0.03,3.0,LOW,NORMAL,0
89,0.03,3.0,LOW,NORMAL,0
163,0.03,3.0,LOW,NORMAL,0
107,0.025,2.5,LOW,NORMAL,0
295,0.025,2.5,LOW,NORMAL,0
23,0.015,1.5,LOW,NORMAL,0
305,0.015,1.5,LOW,NORMAL,0
341,0.01,1.0,LOW,NORMAL,0
168,0.01,1.0,LOW,NORMAL,0
360,0.005,0.5,LOW,NORMAL,0
386,0.005,0.5,LOW,NORMAL,0
90,0.005,0.5,LOW,NORMAL,0
104,0.005,0.5,LOW,NORMAL,0
82,0.0,0.0,LOW,NORMAL,0
272,0.0,0.0,LOW,NORMAL,0
93,0.0,0.0,LOW,NORMAL,0
308,0.0,0.0,LOW,NORMAL,0
171,0.0,0.0,LOW,NORMAL,0
108,0.0,0.0,LOW,NORMAL,0
136,0.0,0.0,LOW,NORMAL,0
219,0.0,0.0,LOW,NORMAL,0
