Feature,Mean_SHAP_Importance
b,0.06419567783094292
lOComment,0.0631893613654925
iv(g),0.06049166300551067
loc,0.04261348970602749
v,0.025870684639003227
uniq_Opnd,0.024630636249909663
i,0.01979246363687885
total_Opnd,0.01710859029891079
lOBlank,0.01636598094680268
uniq_Op,0.015533937353439706
n,0.014597882955734847
lOCode,0.014493022878163737
v(g),0.013748853131560324
d,0.012763411348676887
branchCount,0.011770379386764472
ev(g),0.0108422270913416
l,0.010701510925835054
total_Op,0.010160947557153884
t,0.007158920003215129
e,0.006567752771427199
locCodeAndComment,0.00014454839673181766
