Threshold,Precision,Recall,F1
0.1,0.16981132075471697,0.9,0.2857142857142857
0.15,0.17391304347826086,0.8,0.2857142857142857
0.2,0.21052631578947367,0.8,0.3333333333333333
0.25,0.23333333333333334,0.7,0.35
0.3,0.24,0.6,0.34285714285714286
0.35,0.23809523809523808,0.5,0.3225806451612903
0.4,0.2222222222222222,0.4,0.2857142857142857
0.45,0.21428571428571427,0.3,0.25
0.5,0.23076923076923078,0.3,0.2608695652173913
0.55,0.25,0.3,0.2727272727272727
0.6,0.375,0.3,0.3333333333333333
0.65,0.3333333333333333,0.2,0.25
0.7,0.2,0.1,0.13333333333333333
